TokenID,FullText,Target,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch,AktSemel,metadata
42011042,"» Woe to you Pharisees ! You tithe mint and rue and every herb , and pass over justice and the love of God . You should have done these but you leave them undone .",should have done (these),0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,
42012039b,"» Know this , that if the master of the house had known in what hour the thief was coming he would have watched . He would not have allowed his house to be broken into .",would have watched,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,
42013007a,"» So he told his gardener , I have been coming here looking for figs on this tree for three years . I have not found any . So cut it down ! Why should it continue using the soil ?",have been coming here,0,0,1,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,
42013007c,"» So he told his gardener , I have been coming here looking for figs on this tree for three years . I have not found any . So cut it down ! Why should it continue using the soil ?",have not found,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,
42015021,"» Father , the son said : ‘ I have sinned against God and against you . I am not fit to be called your son . ’",have sinned,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,
42015029a,» He spoke to his father in anger . All these years I have worked like a slave for you . I have never disobeyed you . What have you given me ? Not even a goat for me to have a feast with my friends !,have worked,0,0,1,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,
42015029c,» He spoke to his father in anger . All these years I have worked like a slave for you . I have never disobeyed you . What have you given me ? Not even a goat for me to have a feast with my friends !,have given,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
42017010b,"The same applies to you . When you have done all you have been told to do , you say , we are unworthy servants . We have done what we ought to have done . «",have been told to do,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,
42017019,He said : » Arise and go your way . Your faith has made you whole . «,has made (you) whole,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
42018028,Peter said : » Indeed we have left our own to follow you . «,have left,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
42019015,» He received the kingdom and went back to check on his servants . He wanted to know what they had gained by trading with the money he gave them .,had gained,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,
42019030,"He told them , » Go into the nearby village . You will find a colt tied . No man has ever sat on him . Untie him and bring him to me .",has sat,1,0,0,,0,1,0,1,0,0,0,0,1,0,1,0,0,0,
42019046,He said : » It is written my house shall be a house of prayer . You have made it a den of robbers . «,have made it (a den of robbers),0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
42022028,» You have continued with me in my temptations .,have continued (in my temptations),0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
