"verse_id","language","text"
"11004019","DEU","Geber , der Sohn Uris , im Gebiet von Gad , im Lande Sihons , des Königs der Amoriter , und des Königs Og von Basan . Und ein Statthalter war gesetzt über alle Statthalter im Lande ."
"11004019","ENG","Geber son of Uri : the region of Gilead , which had been ruled by King Sihon of the Amorites and King Og of Bashan . Besides these twelve , there was one governor over all the land ."
"11005005","DEU","sodass Juda und Israel sicher wohnten , ein jeder unter seinem Weinstock und unter seinem Feigenbaum , von Dan bis Beerseba , solange Salomo lebte ."
"11005005","ENG","» Jehovah promised my father David : ‘ Your son , whom I will make king after you , will build a Temple for me . I have decided to build that Temple for the worship of Jehovah my God . ’"
"11007014","DEU","Der war der Sohn einer Witwe aus dem Stamme Naphtali , sein Vater aber war von Tyrus gewesen , ein Erzschmied . Hiram nun war voll Geschick , Verstand und Einsicht für allerlei Arbeiten in Erz . Er kam zum König Salomo und führte alle Arbeiten für ihn aus ."
"11007014","ENG","Huram was knowledgeable and skilled in making things out of copper . He was the son of a widow from the tribe of Naphtali . His father had been from Tyre . He went to do all of King Solomon’s work ."
"11008012","DEU","Damals sprach Salomo : Die Sonne hat der Herr an den Himmel gesetzt , er selbst hat erklärt , im Dunkel wohnen zu wollen ."
"11008012","ENG","Solomon prayed : » Jehovah , you have placed the sun in the sky , yet you have chosen to live in clouds and darkness ."
"11008020","DEU","Nun hat der Herr das Wort erfüllt , das er geredet hat ; denn ich bin an meines Vaters David Statt getreten , und habe den Thron Israels bestiegen , wie der Herr verheissen hat , und ich habe dem Namen des Herrn , des Gottes Israels , das Haus gebaut"
"11008020","ENG","» Now Jehovah has kept his promise . I have succeeded my father as king of Israel . And I have built the Temple for the worship of Jehovah the God of Israel ."
"11008029","DEU","dass deine Augen offenstehen über diesem Hause Nacht und Tag , über der Stätte , von der du verheissen hast : "" Mein Name soll daselbst wohnen "" , dass du erhörest das Gebet , mit dem dir dein Knecht an dieser Stätte naht !"
"11008029","ENG","» Watch over this Temple day and night . For this is the place where you have chosen to be worshiped . Hear me when I face this Temple and pray ."
"11008041","DEU","Auch wenn ein Fremder , der nicht zu deinem Volke Israel gehört , aus fernem Lande kommt um deines Namens willen -"
"11008041","ENG","» When a foreigner who lives in a distant land hears of your fame and of the great things you have done for your people and comes to worship you and to pray at this Temple ,"
"11008044","DEU","Wenn dein Volk wider seine Feinde in den Kampf zieht auf dem Weg , den du sie senden wirst , und sie dann zum Herrn beten , nach der Stadt gewandt , die du erwählt hast und nach dem Hause , das ich deinem Namen gebaut habe ,"
"11008044","ENG","» When your people go to war against their enemies , they pray to you , O Jehovah , toward the city you have chosen and the temple I built for your name ."
"11008047","DEU","und sie gehen in sich in dem Lande , wo sie gefangen sind , und bekehren sich und flehen zu dir im Lande ihrer Gefangenschaft und sprechen : "" Wir haben gesündigt und uns vergangen , sind gottlos gewesen "" ,"
"11008047","ENG","» If they come to their senses and are sorry for what they have done , and plead with you in the land where they are captives , saying : We have sinned . We have done wrong . We have been wicked ."
"11008048","DEU","und sie bekehren sich zu dir von ganzem Herzen und von ganzer Seele in dem Lande ihrer Feinde , die sie weggeführt haben , und beten zu dir , nach ihrem Lande gewandt , das du ihren Vätern gegeben , nach der Stadt , die du erwählt hast , und nach dem Hause , das ich deinem Namen gebaut habe ,"
"11008048","ENG","» If they change their attitude toward you in the land of their enemies where they are captives , if they pray to you toward the land that you gave their ancestors , and the city you have chosen , and the temple I have built for your name ,"
"11008054","DEU","Als nun Salomo mit seinem Beten und Flehen zum Herrn zu Ende war , erhob er sich von seinem Platz vor dem Altar des Herrn , wo er gekniet hatte , die Hände gen Himmel gebreitet ,"
"11008054","ENG","When Solomon finished praying this prayer for mercy to Jehovah , he stood in front of Jehovah’s altar , where he had been kneeling with his hands stretched out toward heaven ."
"11008056","DEU","Gepriesen sei der Herr , der seinem Volke Israel Ruhe verliehen , ganz wie er verheissen hat ! Von all den Verheissungen , die er durch seinen Knecht Mose gegeben , ist nicht eine unerfüllt geblieben ."
"11008056","ENG",""" THANKS TO JEHOVAH ! He has given his people Israel rest , as he has promised . None of the good promises he made through his servant Moses has failed to come true ."
"11008059","DEU","Und dies mein Flehen , mit dem ich dem Herrn genaht , möge dem Herrn , unserm Gotte , gegenwärtig sein bei Tag und bei Nacht , dass er Recht schaffe seinem Knechte und seinem Volke Israel , wie jeglicher Tag es erfordert ,"
"11008059","ENG","» May these words I have prayed to Jehovah be near Jehovah our God day and night . Then he will give his people Israel and me justice every day as it is needed ."
"11008065","DEU","So beging Salomo damals das Fest und ganz Israel mit ihm , eine grosse Versammlung ( aus dem ganzen Lande ) von Hamath an bis an den Bach Ägyptens , vor dem Herrn , unserm Gott , sieben Tage lang ."
"11008065","ENG","At that time Solomon and all Israel celebrated the festival . A large crowd had come from the territory between the border of Hamath and the River of Egypt to be near Jehovah our God for seven days ."
"11009002","DEU","da erschien ihm der Herr zum zweiten Male , wie er ihm zu Gibeon erschienen war ."
"11009002","ENG","Jehovah came to him again in a vision just as he had done at Gibeon ."
"11009003","DEU","Und der Herr sprach zu ihm : Ich habe dein Gebet erhört und das Flehen , mit dem du mir genaht bist . Ich habe dieses Haus , das du gebaut hast , zu meinem Heiligtum gemacht , dass ich meinen Namen darin wohnen lasse immerdar , und meine Augen und mein Herz sollen daselbst sein allezeit ."
"11009003","ENG","Jehovah said : » I have heard your prayers and your supplication you made . I have made this house holy . I put my name there forever . My eyes and my heart will be there at all times ."
"11009006","DEU","Wenn ihr euch aber von mir abwendet , ihr und eure Kinder , und meine Gebote und Satzungen , die ich euch gegeben habe , nicht haltet , sondern hingeht und andern Göttern dient und sie anbetet ,"
"11009006","ENG","» But if you turn from my ways , you or your children , and do not keep my orders and my laws which I have put before you , but go and make yourselves servants to other gods and give them worship :"
"11009007","DEU","so werde ich Israel ausrotten aus dem Lande , das ich ihnen gegeben habe , und das Haus , das ich meinem Namen geweiht habe , von meinem Angesicht verwerfen , und Israel soll zum Sprichwort und zum Spotte werden unter allen Völkern ."
"11009007","ENG","» I will have Israel cut off from the land I gave them . I will abandon this house even though I have made it holy for myself . I will put you out of my sight . Israel will be a public example , and a word of shame among all peoples ."
"11009009","DEU","so wird man antworten : "" Weil sie den Herrn , ihren Gott , der ihre Väter aus dem Lande Ägypten herausgeführt hat , verlassen und sich an andere Götter gehalten , sie angebetet und ihnen gedient haben , darum hat der Herr all dieses Unglück über sie gebracht . """
"11009009","ENG","» ‘ The answer will be : ‘ Because they turned away from Jehovah their God . The one who took their fathers out of the land of Egypt . They took for themselves other gods and gave them worship and became their servants : that is why Jehovah has sent this evil on them . ’ «"
"11009013","DEU","und er sprach : Was sind das für Städte , die du mir da gegeben hast , mein Bruder ? Daher nennt man sie "" Land Kabul "" bis auf diesen Tag ."
"11009013","ENG","He said : » What sort of towns are these you have given me , my brother ? « So they were named the land of Cabul , to this day ."
"11010024","DEU","Und alle Welt begehrte Salomo zu sehen , um seine Weisheit zu hören , die ihm Gott ins Herz gelegt hatte ."
"11010024","ENG","They came from all over the earth to see Solomon and to listen to his wisdom , which God had put in his heart ."
"11011009","DEU","Der Herr aber wurde zornig über Salomo , weil er sein Herz abgewandt von dem Herrn , dem Gott Israels , der ihm zweimal erschienen war"
"11011009","ENG","Jehovah was angry with Solomon . This is because his heart turned away from Jehovah , the God of Israel , who had twice come to him in a vision ."
"11011015","DEU","Als nämlich David die Edomiter geschlagen hatte und der Feldhauptmann Joab hinaufzog , die Erschlagenen zu begraben , und alles , was männlich war in Edom , niedermachte -"
"11011015","ENG","When David had sent destruction on Edom , and Joab , the commander of the army went to bury the dead . They put to death every male in Edom ."
"11011024","DEU","Der sammelte Männer um sich und wurde Anführer einer Streifschar ; dann nahm er Damaskus ein , setzte sich darin fest und wurde König über Damaskus ."
"11011024","ENG","and had become the leader of a gang of outlaws . This happened after David defeated Hadadezer and slaughtered his Syrian allies . Rezon and his gang lived in Damascus , where his followers made him king of Syria ."
"11011036","DEU","seinem Sohne will ich einen einzigen Stamm geben , dass meinem Knechte David immerdar eine Leuchte vor mir bleibe in Jerusalem , der Stadt , die ich mir erwählt habe , dass ich meinen Namen daselbst wohnen lasse ."
"11011036","ENG","» ‘ I will let Solomon's son keep one tribe . That way I will always have a descendant of my servant David ruling in Jerusalem , the city I have chosen as the place where I am worshiped ."
"11011038","DEU","Wirst du nun auf alles hören , was ich dir gebiete , und in meinen Wegen wandeln und tun , was mir wohlgefällt , indem du meine Satzungen und Gebote hältst , wie mein Knecht David es getan , so will ich mit dir sein und dir ein dauerndes Haus bauen , wie ich es David gebaut habe , und will dir Israel geben ;"
"11011038","ENG","» ‘ If you obey me completely I will always be with you . You must live by my laws , and win my approval by doing what I command , as my servant David did . I will make you king of Israel and will make sure that your descendants rule after you , just as I have done for David ."
"11012006","DEU","Und König Rehabeam hielt Rat mit den Alten , die seinem Vater Salomo zu dessen Lebzeiten gedient hatten , und fragte sie : Wie ratet ihr mir , diesem Volke zu antworten ?"
"11012006","ENG","Then King Rehoboam consulted elders who had been with Solomon his father when he was living . He said : » In your opinion , what answer am I to give to these people ? «"
"11012015","DEU","Also hörte der König nicht auf das Volk ; denn es war so von dem Herrn gefügt , damit er das Wort erfülle , das er durch Ahia von Silo zu Jerobeam , dem Sohne Nebats , geredet hatte ."
"11012015","ENG","The king did not listen to the people . This came about by Jehovah’s purpose , so that what he had said by Ahijah the Shilonite to Jeroboam , son of Nebat , might be fulfilled ."
"11012020","DEU","Als nun ganz Israel hörte , dass Jerobeam zurückgekommen sei , sandten sie hin und liessen ihn in die Volksversammlung rufen und machten ihn zum König über ganz Israel ; und niemand hielt zum Hause Davids als allein der Stamm Juda ."
"11012020","ENG","When all Israel heard that Jeroboam had come back , they requested a meeting of the people . At that meeting they made him king over Israel . There was none who followed the house of David except the tribe of Judah ."
"11012032","DEU","Ferner setzte Jerobeam ein Fest an auf den fünfzehnten Tag des achten Monats , gleich dem Fest in Juda . So tat er in Bethel , um den Kälbern zu opfern , die er gemacht hatte , und liess die Höhenpriester , die er bestellt hatte , in Bethel ihres Amtes warten ."
"11012032","ENG","Jeroboam appointed a festival on the fifteenth day of the eighth month , just like the festival in Judah . He went to the altar in Bethel to sacrifice to the calves he had made . He appointed priests from the illegal worship sites to serve in Bethel ."
"11013003","DEU","Zu gleicher Zeit kündete er ein Wunderzeichen an und sprach : Das ist das Zeichen dafür , dass der Herr geredet hat : der Altar wird zerbersten , sodass die Asche , die darauf ist , verschüttet wird ."
"11013003","ENG","The prophet went on to say : » This altar will fall apart . The ashes on it will be scattered . Then you will know that Jehovah has spoken through me . «"
"11013007","DEU","Darauf sprach der König zu dem Gottesmann : Komm mit mir heim und erlabe dich ; ich will dir ein Geschenk geben ."
"11013007","ENG","Then the king said to the prophet : » Come home with me and have something to eat . I will reward you for what you have done . «"
"11013020","DEU","Als sie noch bei Tische sassen , erging das Wort des Herrn an den Propheten , der ihn zurückgeholt hatte ,"
