TokenID,Target,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClIntgv,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch,AktSemel,eng_gram,cmn_gram,deu_gram,jpn_gram,metadata
41016014a,had seen,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"past, participle",guo,"partizip, prat, haben, indikativ",,"DTAM: ""...after he had risen"""
41016014b,had risen,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"past, participle",nullmarked,n_a,,
41016019,had spoken,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"past, participle","le, compound","partizip, prat, haben, indikativ",,
42001001a,have attempted,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"present, participle",n_a,"haben, partizip, indikativ, prasens",,
42001001b,have taken place,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle",n_a,"haben, partizip, indikativ, prasens",,
42001003,have (accurately) traced,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"present, participle","yijing, guo","partizip, indikativ",,
42001013,has heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",yi,"sein, partizip, werden, indikativ, prasens",,
42001017,have been directed (to Jehovah),0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,"present, participle",le,n_a,,
42001019,have been sent,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"sein, partizip, indikativ, prasens",,
42001020,has caused this,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"partizip, indikativ, haben, prasens",,
42001025,has dealt with,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"partizip, haben, indikativ, prasens",,
42001030,have found favor,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle","yi, le","partizip, haben, indikativ, prasens",,
42001034,have had no intercourse,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,"present, participle",meiyou,n_a,,
42001036,has conceived,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"present, participle",le,"prasens, indikativ",,
42001048,has looked on,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"partizip, haben, indikativ, prasens",,
42001049,has done great things,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"present, participle",le,"partizip, haben, indikativ, prasens",,
42001054,has helped,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"present, participle",le,"partizip, haben, indikativ, prasens",,
42001068a,has visited,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"haben, partizip, indikativ, prasens",,
42001068b,[has] brought (redemption),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"haben, partizip, indikativ, prasens",,
42002015,that has happened,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle",yijing,"partizip, sein, indikativ, prasens",,
42002017,had heard,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"past, participle",le,n_a,,"DTAM: ""as soon as..."""
42002020a,had heard,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"past, participle",compound,"haben, prat, partizip, indikativ",,
42002020b,[had] seen,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"past, participle",compound,"haben, prat, partizip, indikativ",,
42002030,have seen,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle","yijing, compound","haben, partizip, indikativ, prasens",,
42002037,had been a widow,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"past, participle",le,"sein, prat, indikativ",,
42002039,had accomplished (all things),1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"past, participle",nullmarked,"partizip, haben, prat, indikativ",,
42002048a,have searched,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"present, participle",nullmarked,"indikativ, prasens",,
42002048b,have been worried,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"present, participle",nullmarked,n_a,,
42003019,had done (evil things),1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"past, participle",suo_de,"prat, partizip, haben, indikativ",,
