Book,Chapter,Verse,Text
მათე,5,29,"თუ გაცდუნებს შენი მარჯვენა თვალი, ამოითხარე და"
მათე,5,31,"„ასევე ნათქვამია: გინც თაგის ცოლს გაუშვებს, მისცეს"
მათე,5,32,"მე კი გეუბნებით თქვენ: ყოველი, გინც თავის (კოლს"
მათე,5,38,"გიდევ გსმენიათ, რომ უთქვამთ ძველებისთვის: 'არ დაი-"
მათე,5,34,"მე კი გეუბნებით თქვენ: სულ არ დაიფიცოთ არც ცა,"
მათე,5,35,"არც ქვეყანა, რადგან მის ფერხთა კვარცხლბეკია იგი; არც"
მათე,5,36,"არც საკუთარი თავი დაიფიცო, რადგან ერთი ღერი თმის"
მათე,5,37,"არამედ იყოს თქვენი სიტყვა: პო – ჰო, არა – არა. რაც"
მათე,5,38,"„თქვენ გსმენიათ, რომ თქმულა: თგალი თვალისა წილ და"
მათე,5,39,მე გი გეუბნებით თქვენ: წინ ნუ აღუდგებით ბოროტს;
მათე,5,40,ვინც მოისურვებს შენს განკითხვას და შენი მოსასხამის
მათე,5,41,"ვინც ერთ მილზე წაყოლა გაიძულოს, ორზე გაპყეგი."
მათე,5,42,"ვინც გთხოვოს, მიეცი; ზურგს ნუ შეაქცეგ მას, ვისაც"
მათე,5,43,"„თქვენ გსმენიათ, რომ თქმულა: ""შეიყვარე მოყვასი შენი"
მათე,5,19,მათე 6
მათე,5,44,"მე კი გეუბნებით: გიყვარდეთ თქვენი მტრები, დალოცეთ"
მათე,5,45,"რათა იყოთ თქვენი ზეციერი მამის ძენი, ვისაც თავისი"
მათე,5,46,"გინაიდან, თუ თქვენ თქვენი მოყვარულები გეყვარებათ, რა"
მათე,5,47,"თუ მხოლოდ თქვენს ძმებს მოიკითხავთ, განსაკუთრებულს"
მათე,5,48,"მაშ, იყაგით სრულყოფილნი, ისევე როგორც თქვენი"
მათე,6,1,"„ერიდეთ სიმართლის გეთებას ადამიანთა თვალწინ, მათ"
მათე,6,2,"ჰოდა, როცა მოწყალებას გასცემ, ნუ გაახმაურებ შენს"
მათე,6,4,"რათა შენი მოწყალება დაფარულში იყოს; და მამაშენი,"
მათე,6,5,"„როცა ლოცულობთ, ნუ იქნებით, როგორც თგალთმაქცნი,"
მათე,6,6,"შენ კი, როცა ლოცულობ, შედი შენს ოთახში, ჩაიკეტე"
მათე,6,7,"ხოლო ლოცვის დროს ნუ ილაპარაკებთ ზედმეტს, როგორც"
მათე,6,8,"ნუ მიბაძაგთ მათ, გინაიდან თქვენმა მამამ იცის, რა"
მათე,6,9,"თქვენ გი ასე ილოცეთ: მამაო ჩვენო, რომელი ხარ ცათა"
მათე,6,10,"მოვიდეს სუფევა შენი, და იყოს ნება შენი, ვითარცა ცათა"
მათე,6,11,პური ჩვენი არსობისა მოგვეც ჩვენ დღეს;
მათე,6,12,"და მოგვიტევე ჩვენ თანანადებნი ჩვენი, ვითარცა ჩგენ"
მათე,6,13,"და ნუ შეგგიყვან ჩგენ განსაცდელში, არამედ გვიხსენ ჩვენ"
მათე,6,14,ვინაიდან თუ თქვენ მიუტევებთ ადამიანებს მათ შეცოდე-
მათე,6,15,ხოლო თუ თქვენ არ მიუტევებთ ადამიანებს მათ შეცოდე-
მათე,6,16,"„ასევე როცა · მარხულობთ, ხუ იქნებით მწუხარენი,"
მათე,6,17,"ხოლო შენ, როდესაც მარხულობ, ზეთი იცხე თავხე და"
მათე,6,18,"რათა ადამიანებს კი არ ეჩვენო მარხულად, არამედ"
მათე,6,19,"ხუ დაიუნჯებთ დედამიწაზე, სადაც ჩრჩილი და ჟანგი"
მათე,6,20,"დაიუნჯეთ ცაში, სადაც არც ჩრჩილი და ჟანგი სპობს და"
მათე,6,21,"ვინაიდან, სადაც შენი საუნჯეა, შენი გულიც იქვე იქნება."
მათე,6,22,"„სხეულის სანთელი თვალია; ჰოდა, თუ შენი თვალი"
მათე,6,23,"ხოლო თუ შენი თვალი ბოროტია, მთელი შენი სხეულიც"
მათე,6,24,„არაგის არ შეუძლია ორ ბატონს ემსახუროს: ან ერთი
მათე,6,12,მათე 7
მათე,6,25,ამიტომ გეუბნებით თქვენ: ნუ ზრუნავთ თქვენი სული-
მათე,6,26,"შეხედეთ ცის ფრინველებს: ისინი არც თესავენ, არც"
მათე,6,27,რომელ თქვენგანს შეუძლია ზრუნვით თავის სიმაღლეს
მათე,6,28,"სამოსელზე რაღას ზრუნავთ? შეხედეთ ველის შროშანებს,"
მათე,6,29,"მაგრამ გეუბნებით თქვენ, რომ სოლომონიც კი, მთელ"
მათე,6,30,"თუკი მინდვრის ბალახს, რომელიც დღეს არის, ხვალ კი"
მათე,6,31,"ამრიგად, ნუ ზრუნავთ და ნუ ამბობთ: რა ვჭამოთ? ან: რა"
მათე,6,32,ვინაიდან ყოველივე ამას წარმართნი ეძებენ; ვინაიდან
მათე,6,34,"ამრიგად, ნუ იზრუნებთ ხვალინდელ დღეზე, გინაიდან"
მათე,7,1,"„ნუ განიკითხაგთ, რათა არ განიკითხოთ. ლუა.6,37. რომ.2,1. 1კორ.4,5."
მათე,7,2,ვინაიდან რომელი განკითხვითაც განიკითხავთ და რომელი
მათე,7,3,"რად უყურებ ბეწვს შენი ძმის თვალში, ხოლო საკუთარ"
მათე,7,4,"ანდა როგორ ეტყვი შენს ძმას: მიმიშვი, ამოგიღო თვალი-"
მათე,7,5,"თვალთმაქცო, ჯერ შენი თვალიდან დირე ამოიღე და მერე"
მათე,7,6,ნუ მისცემთ წმიდას ძაღლებს და ნურც თქვენს მარგალი-
მათე,7,7,„ითხოვეთ და მოგეცემათ; ეძებეთ და იპოვით; დააგაკუნეთ
მათე,7,8,"ვინაიდან ყოველი, ვინც ითხოვს, ღებულობს, ვინც ეძებს"
მათე,7,9,"არის კი თქგენს შორის ისეთი კაცი, საკუთარი შგილი"
მათე,7,10,"ანდა თეგხი რომ სთხოვოს, გველი მიაწოდოს?"
მათე,7,11,"ჰოდა, თუ თქვენ, ბოროტებმა, იცით კეთილ მისაცემელთა"
მათე,7,12,"ამიტომ, ყველაფერში, როგორც გინდათ, რომ მოგექცნენ"
მათე,7,13,"„შედით ვიწრო კარიბჭით, ვინაიდან ფართოა კარიბჭე და"
მათე,7,14,"ვინაიდან ვიწროა კარიბჭე და ვიწროა გზა, რომელსაც"
მათე,7,15,"„ერიდეთ ცრუ წინასწარმეტყველებს, რომლებიც ცხვრის"
მათე,7,16,მათი ნაყოფით იცნობთ მათ. განა ეკლიდან ყურძენს
მათე,7,17,"ასე, ყოველი გარგი ხე ნაყოფსაც გარგს იძლევა, ხოლო"
მათე,7,19,"ყოველ ხეს, რომელსაც კარგი ნაყოფი არ მოაქვს, ჭრიან"
მათე,7,20,"ასე რომ, მათი ნაყოფით იცნობთ მათ."
მათე,7,21,"„ვინც მეუბნება: ""უფალო, უფალო!“ ყველა როდი შევა (ვათა"
მათე,7,14,მათე 8
მათე,7,22,ბევრი მ ტყვის იმ დღგს: უფალო. უფალო! განა შენი
მათე,7,23,მაშინ მე განვუცხადებ მათ: მე არასოდეს არ გი/ცკცნობდით
მათე,7,24,„ამიტომ ყველას. ვინც ისმენს ამ ჩემს სიტყვებს და ასრუ-
მათე,7,25,"მოვიდა წვიმა, გადმოსკდნენ მდინარეები, ამოგარდნენ"
მათე,7,27,"მოგიდა წვიმა, გადმოსკდნენ მდინარეები, ამოვარდნენ"
მათე,7,28,"როცა იესომ დაასრულა ეს სიტყვები, ხალხი გაოცებული"
მათე,7,29,ვინაიდან იგი ასწაგლიდა მათ როგორც ხელმწიფების
მათე,8,1,მთიდან ჩამომავალს დიდძალი ხალხი მისდევდა უკან.
მათე,8,2,"აპა, მიგიდა მასთან კეთროვანი. თაყვანი სცა და უთხრა:"
მათე,8,3,"გაიწოდა ხელი, შეახო მას და თქვა: „მინდა. განიწმიდე!'"
მათე,8,4,"უთხრა მას იესომ: „იცოდე, არავის უთხრა, არამედ წადი"
მათე,8,8,"კაპერნაუმში შეგიდა, ასისთავი მიგიდა მასთან, შეე-"
მათე,8,7,უთხრა მას: „მე მოვალ და განგკურნავ მას.”
მათე,8,8,"იმ ასისთავმა გი უთხრა პასუხად: „უფალო, არა ვარ"
მათე,8,9,ვინაიდან მეც ხელმწიფების ქვეშ მყოფი აცი ვარ და
მათე,8,0,"ეს რომ გაიგონა, იესოს გაუკვირდა და თავის მიმდეგრებს"
მათე,8,11,"ხოლო თქვენ გეუბნებით, რომ მრაგალნი მოვლენ აღმო-"
მათე,8,12,ხოლო სასუფეგლის ძენი გადაიყრებიან გარესკნელის სიბნე-
მათე,8,13,"და უთხრა იესომ ასისთავს: „წადი და როგორც ირწმუნე,"
მათე,8,14,იესო მიგიდა პეტრეს სახლში და ნახა მისი სიდედრი
მათე,8,15,"შეეხო მის ხელს და ცხელებამ გაუარა ქალს, იგი წამოდგა"
მათე,8,16,"როცა მოსაღამოგდა, მრაგალი ეშმაკეული მოიყვანეს"
მათე,8,17,რათა აღსრულდეს ესაია წინასწარმეტყველის მიერ
მათე,8,18,"თავის გარშემო დიდძალი ხალხი რომ დაინახა, იესომ"
მათე,8,19,"მიუახლოვდა ერთი მწიგნობარი და უთხრა: „მოძღვარო,"
მათე,8,20,იესომ უთხრა მას: „მელიებს სოროები აქვთ და ცის ფრი-
მათე,8,21,"ხოლო სხვა მოწაფეთაგანმა უთხრა მას: „უფალო, ნება"
მათე,8,16,მათე 9
მათე,8,22,"მაგრამ იესომ უთხრა მას: „შენ მე გამომყევი, მკგდრებმა"
მათე,8,23,ჩაჯდა იგი ნავში და მისი მოწაფეებიც მიჰყგნენ.
მათე,8,24,"და აპა, ატყდა დიდი ღელვა ზღვაზე, ისე რომ, ნავი"
მათე,8,25,"მიგიდნენ მასთან, გააღგიძეს იგი და უთხრეს: „უფალო,"
მათე,8,26,"უთხრა მათ: „რამ შეგაშინათ, მცირედ მორწმუნენო?“"
მათე,8,27,"ადამიანებს კი უგგირდათ და ამბობდნენ: „გინ არის ეს,"
მათე,8,28,"როცა გაღმა, ღადარინელთა ქვეყანაში მივიდა, შემოხვდა"
მათე,8,29,"და აჰა მორთეს ყვირილი: „რა გინდა ჩვენგან, ღგთის"
მათე,8,30,მათგან მოშორებით ძოგდა ღორების დიდი კოლტი.
მათე,8,51,"ეშმაკები შეეგედრნენ მას: „თუ გაგვდევნი, ღორების"
მათე,8,32,უთხრა მათ: „წადით ისინიც გამოვიდნენ და შეგიდნენ
მათე,8,33,"მწყემსები კი გაიქცნენ, მივიდნენ ქალაქში და უამბეს"
მათე,8,34,"და აჰა, მთელი ქალაქი გამოვიდა იესოს შესახვედრად და,"
მათე,9,1,"მაშინ ჩაჯდა ნაგში, გაღმა გავიდა და მივიდა თავის"
მათე,9,2,"აპა, მიუყგანეს მას ლოგინად ჩავარდნილი დაგრდომილი."
მათე,9,3,"აჰა, ზოგიერთმა მწიგნობარმა თავისთვის თქვა: ეს კაცი"
მათე,9,4,იესომ კი იცოდა მათი ზრახვები და უთხრა: „რატომ
მათე,9,5,"რა უფრო ადვილია – თქმა: შენი ცოდვგები მოგეტევა, თუ"
მათე,9,6,"ხოლო რათა იცოდეთ, რომ კაცის ძეს დედამიწაზე აქვს"
მათე,9,8,"ამის შემყურე ხალხს უკვირდა და ადიდებდა ღმერთს,"
მათე,9,9,"იქაურობას რომ გაშორდა, იესომ დაინახა კაცი, რომელიც"
მათე,9,10,"მოხდა ისე, რომ როცა ის სუფრასთან იჯდა სახლში, მრა-"
მათე,9,11,"ეს რომ ფარისევლებმა დაინახეს, უთხრეს მის მოწაფეებს:"
მათე,9,12,ხოლო მან გაიგონა ეს და უთხრა მათ: „მკურნალი
მათე,9,13,"წადით და მს თირენ რას ნიშნავს: ""წყალობა მსურს და"
მათე,9,14,მაშინ მივიდნენ მასთან იოანეს მოწაფეები და უთხრეს:
მათე,9,15,უთხრა მათ იესომ: „განა შეუძლიათ იგლოვგონ მექორწი-
მათე,9,16,ძველ ტანისამოსს არავინ დაადებს ახალი ქსოვილის საგე-
მათე,9,17,"არც ახალ ღვინოს ჩაასხამენ ძგელ ტიკებში, თორემ"
მათე,9,18,მათე 9
მათე,9,18,"როცა მათ ამას ელაპარაკებოდა, მიგიდა მასთან ერთი მთა-"
მათე,9,19,"წამოდგა იესო, გაჰყვა მას და მისი მოწაფეებიც მასთან."
მათე,9,20,"აპა, ერთი ქალი, რომელიც თორმეტ წელიწადს იტანჯე“"
მათე,9,21,"ვინაიდან თავისთვის ამბობდა: მის სამოსგლსაც რომ შევეხო,"
მათე,9,22,"ხოლო იესო მიბრუნდა, დაინახა იგი და უთხრა:"
მათე,9,23,"მივიდა იესო მთავრის სახლში, დაინახა იქ მესტვირეები და"
მათე,9,24,"უთხრა მათ: „წადით აქედან, რადგან გოგონა არ"
მათე,9,25,"ხოლო როცა ხალხი გაიყგანეს, ის შევიდა, ხელი მოპკიდა"
მათე,9,26,ეს ამბაგი მთელ იმ მხარეს მოედო.
მათე,9,27,"როცა იესო იქიდან მოდიოდა, ორი ბრმა აგდეგნა. ყვი-"
მათე,9,28,ხოლო როცა იგსო სახლში შეგიდა. მიადგნენ მას ბრმები.
მათე,9,29,მაშინ შეეხო მათს თვალებს და უთხრა: „თქვენი რწმენისა-
მათე,9,30,და აგხილათ მათ თვალები. იესომ მკაცრად გააფრთხილა
მათე,9,31,ისინი გი გავიდნენ და მთელ იმ ქგეყანას მოსდეს მისი
მათე,9,32,"ისინი რომ გავიდნენ, მასთან მოიყვანეს ეშმაკეული მუნჯი"
მათე,9,33,"როცა ეშმაკი განიდევნა, მუნჯმა ენა ამოიდგა. გაკვირვე-"
მათე,9,34,ფარისევლები გი ამბობდნენ: ეშმაკთა მთაგრით დევნის
მათე,9,35,"დადიოდა იესო ყველა ქალაქსა და სოფელში, ასწაგლიდა"
მათე,9,36,"ხალხის ბრბო რომ დაინახა, შეებრალა ისინი, ვინაიდან"
მათე,9,37,"მაშინ თაგის მოწაფეებს უთხრა: „სამკალი ბევრია, მუშაკნი"
მათე,9,38,"ამიტომ ეგედრეთ სამკლის უფალს, რომ წარმოგზაგნოს"
მათე,10,1,მოუწოდა თავის თორმეტ მოწაფეს და მისცა მათ ხელ-
მათე,10,2,ეს არის იმ თორმეტი მოციქულის სახელები: პირველი
მათე,10,3,"ფილიპე და ბართლომე, თომა და მათე მებაჟე, იაკობ"
მათე,10,4,"სიმონ განანელი და იუდა ისკარიოტელი, რომელმაც გასცა"
მათე,10,5,"ეს თორმეტი მიავლინა იესომ, ამცნო და უთხრა:"
მათე,10,6,არამედ წადით ისრაგლის სახლის დაკარგულ ცხვრებთან.
მათე,10,8,"სნეულნი განკურნეგთ, მკვდრები აღადგინეთ, გეთროვანნი"
მათე,10,10,"ნურც ფუთას გ ხაში, ნურც ორ სამოსელს, ნურც ფეხსა-"
მათე,10,20,მათე 10
მათე,10,11,"რომელ ქალაქში ან სოფელშიც არ უნდა შეხვიდეთ, გამოი-"
მათე,10,12,სახლში შესვლისას მიესალმეთ მას და უთხარით: მშვიდობა
მათე,10,13,"თუ სახლი ღირსი იქნება, თქვენი მშვიდობა მიუვა მას;"
მათე,10,14,ხოლო ვინც არ მიგიღებთ თქვენ და არც მოისმენენ
მათე,10,15,ჭეშმარიტად გეუბნებით თქვენ: სოდომისა და გომორის
მათე,10,8,"წაგიყვანენ განმგებლებთან და მეფეებთან ჩემს გამო,"
მათე,10,19,"ხოლო როცა გადაგცემენ თქვენ, ნუ იზრუნებთ, რა ვთქვათ"
მათე,10,20,"გინაიდან თქვენ გი არ ილაპარაკებთ, არამედ თქვენი მამის"
მათე,10,21,ძმა ძმას გადასცემს სასიკვდილოდ და მამა – შვილს;
მათე,10,22,ყველასგან მოძულებულნი იქნებით ჩემი სახელის გამო;
მათე,10,23,"როცა ერთ ქალაქში დეგნას დაგიწყებენ, მეორისაკენ გაი-"
მათე,10,25,"საკმარისია მოწაფისათგის ისეთი იყოს, როგორიც მისი"
მათე,10,26,"ამიტომ ნუ გეშინიათ მათი, ვინაიდან არაფერია დაფა“"
მათე,10,27,"რასაც თქვენ სიბნელეში გეუბნებით, სინათლეზხე ილაპარა-"
მათე,10,28,"„ნუ გეშინიათ მათი, ვინც სხეულს გლავს, სულის მოკვლა"
მათე,10,29,განა ორი ბეღურა ერთ ასარად არ იყიდება? მაგრამ არც
მათე,10,30,ხოლო თქვენ თავზხე თმებიც გი დათვლილია.
მათე,10,32,"„ყველას, ვინც მე მაღიარებს ადამიანთა წინაშე, იმას მეც"
მათე,10,33,"ვინც უარმყოფს მე ადამიანთა წინაშე, მას მეც უარვყოფ"
მათე,10,34,ნუ გგონიათ თითქოს დედამიწაზე მშვიდობის მოსატანად
მათე,10,35,"რადგან მოვედი, რათა გაგყო კაცი თაგის მამისაგან, ასული"
მათე,10,36,"კაცის მტრები მისი შინაურები იქნებიან. მიქ.7,6."
მათე,10,37,"ვისაც მამა ან დედა ჩემზე მეტად უყვარს, იგი არ არის"
მათე,10,38,"ვინც არ აიღებს თავის ჯვარს და არ გამომყვება, არ არის"
მათე,10,39,"ვინც თავის სულს პოულობს, დაკარგავს მას, ხოლო ვინც"
მათე,10,40,"„გინც თქვენ გღებულობთ, მე მღებულობს, ხოლო ვინც მე"
